6100002d 1 2 3
62000046 2 3 4
6300005f 3 4 5
6a000005 4 5 6
64000005 5 6 7
65000005 6 7 8
66000005 7 8 9
6b000000 8 9 10
6f40ffff 9 10 11
30f00004 13 13 -1
5bba0000 14 15 16
8ff00001 15 16 17
400ffffe 19 19 -1
5bba0000 20 21 22
8ff00001 21 22 23
400ffffe 25 25 -1
5bba0000 26 27 28
8ff00001 27 28 29
400ffffe 31 31 -1
5bba0000 32 33 34
8ff00001 33 34 35
400ffffe 37 37 -1
5bb60000 38 39 40
571b0000 39 41 42
6b000000 40 43 44
6f60ffff 41 42 43
30f00004 45 45 -1
5bba0000 46 47 48
8ff00001 47 48 49
400ffffe 51 51 -1
5bba0000 52 53 54
8ff00001 53 54 55
400ffffe 57 57 -1
5bba0000 58 59 60
8ff00001 59 60 61
400ffffe 63 63 -1
5bba0000 64 65 66
8ff00001 65 66 67
400ffffe 69 69 -1
5bb50000 70 71 72
582b0000 71 73 74
6b000000 72 75 76
6f40ffff 73 74 75
30f00004 77 77 -1
5bba0000 78 79 80
8ff00001 79 80 81
400ffffe 83 83 -1
5bba0000 84 85 86
8ff00001 85 86 87
400ffffe 89 89 -1
5bba0000 90 91 92
8ff00001 91 92 93
400ffffe 95 95 -1
5bba0000 96 97 98
8ff00001 97 98 99
400ffffe 101 101 -1
5bb50000 102 103 104
593b0000 103 105 106
20000008 104 104 -1
